step,HEK_Experiment_0,HEK_Experiment_1,HEK_Experiment_2,HEK_Experiment_3,HEK_Experiment_4,iPS_Experiment_0,iPS_Experiment_1,iPS_Experiment_2,iPS_Experiment_3,iPS_Experiment_4
step_00000449,,,,,,MediumChange2State,,,,MediumChange2State
step_00000450,,,,,,MediumChange2State,,,,MediumChange2State
step_00000451,,,,,,SamplingState,,,,MediumChange2State
step_00000452,,,,,,SamplingState,,,,MediumChange2State
step_00000453,,,,,,SamplingState,,,,MediumChange2State
step_00000454,,,,,,SamplingState,,,,MediumChange2State
step_00000455,,,,,,SamplingState,,,,MediumChange2State
step_00000456,,,,,,SamplingState,,,,MediumChange2State
step_00000457,,,,,,,,,,MediumChange2State
step_00000458,,,,,,,,,,MediumChange2State
step_00000459,,,,,,,,,,MediumChange2State
step_00000460,,,,,,,,,,MediumChange2State
